feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,n_clusters_found,n_noise_points,ari,silhouette_score,calinski_harabasz_score
params/feature_set_2.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4130,H2-HDBSCAN,75,2161,0.8883417634223542,0.16514668180733597,318.64247061190287
params/feature_set_2.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",705,H2-HDBSCAN,68,1350,0.882541098151516,0.15932413776197177,374.77271547726804
params/feature_set_3.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",65,H2-HDBSCAN,34,75,0.8605629610094351,0.24842016436821207,1580.9815220551643
params/feature_set_3.joblib,hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",61,H2-HDBSCAN,74,780,0.8451516247982026,0.21571199595928192,839.56640625
params/feature_set_3.joblib,hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",288,H2-HDBSCAN,77,1379,0.8371130122681568,0.2050691694021225,706.7410278320312
params/feature_set_2.joblib,hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",719,H2-HDBSCAN,92,2061,0.8348518144139787,0.18026956915855408,290.6969909667969
params/feature_set_3.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",306,H2-HDBSCAN,32,417,0.8346648222547435,0.2304614662609372,1409.4826789135202
params/feature_set_2.joblib,hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4096,H2-HDBSCAN,108,3364,0.8197526356218547,0.17879265546798706,227.408447265625
params/feature_set_1.joblib,hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",512,H2-HDBSCAN,84,1427,0.8101545855536165,0.1993749737739563,518.6589965820312
params/feature_set_1.joblib,hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",108,H2-HDBSCAN,72,730,0.8049937990047478,0.1948166787624359,674.3726196289062
params/feature_set_1.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",112,H2-HDBSCAN,61,526,0.7987990505590307,0.17871562143108777,711.6277212127271
params/feature_set_1.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",538,H2-HDBSCAN,72,948,0.7981249281835372,0.16733931174987446,542.0107543191328
params/feature_set_4.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",21,H2-HDBSCAN,141,3171,0.7709985326731137,0.23852434754371643,646.0015258789062
params/feature_set_8.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21,H2-HDBSCAN,140,3152,0.7707790353469853,0.23814915120601654,649.8311767578125
params/feature_set_6.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21,H2-HDBSCAN,140,3152,0.7707790353469853,0.23814915120601654,649.8311767578125
params/feature_set_5.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",21,H2-HDBSCAN,140,3152,0.7707790353469853,0.23814915120601654,649.8311767578125
params/feature_set_7.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",21,H2-HDBSCAN,140,3152,0.7707790353469853,0.23814915120601654,649.8311767578125
params/feature_set_4.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H2-HDBSCAN,144,3367,0.7478898109624692,0.21090079843997955,571.5520629882812
params/feature_set_8.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_7.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_5.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_6.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_2.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4760,H2-HDBSCAN,105,1746,0.587128028596829,0.041431543056039105,41.69924526719164
params/feature_set_2.joblib,all_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4761,H2-HDBSCAN,105,1737,0.5869397611193485,0.04152022594975942,41.83409017950114
params/feature_set_3.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1693,H2-HDBSCAN,96,1142,0.5639928784542306,0.047147896661847724,75.18219126542694
params/feature_set_7.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1602,H2-HDBSCAN,83,518,0.567233148691258,0.05836538453012709,151.30094609259865
params/feature_set_3.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1584,H2-HDBSCAN,85,522,0.5664890635193099,0.05676384073266804,145.70862166923604
params/feature_set_4.joblib,all_fev_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1691,H2-HDBSCAN,96,1142,0.5639890199247659,0.04657074271750097,74.67013163543311
params/feature_set_4.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1690,H2-HDBSCAN,95,1134,0.5638395732701087,0.046179306544400396,75.2049773434336
params/feature_set_7.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1692,H2-HDBSCAN,95,1137,0.5638312785402767,0.046965610678824724,75.91348136112957
params/feature_set_4.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1691,H2-HDBSCAN,97,1141,0.5637543224636045,0.04680212784818916,74.06721868818235
params/feature_set_7.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1688,H2-HDBSCAN,96,1132,0.5636865264344253,0.04586570776462359,74.07550200919127
params/feature_set_4.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1688,H2-HDBSCAN,95,1130,0.5636741131383501,0.04580364283610256,74.76526021644284
params/feature_set_7.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1689,H2-HDBSCAN,95,1126,0.5634737863699367,0.04630922479731122,75.34284495458937
params/feature_set_4.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8802,H2-HDBSCAN,97,1158,0.5600528877395474,0.04257669392018004,69.45868430114338
params/feature_set_7.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8776,H2-HDBSCAN,97,1171,0.5600377026615688,0.0418188857140057,69.06375742751116
params/feature_set_4.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8738,H2-HDBSCAN,97,1170,0.5600007340430857,0.041507550302576884,68.85688546066918
params/feature_set_4.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8712,H2-HDBSCAN,97,1170,0.5599535789355974,0.041102341843810786,68.44198383218003
params/feature_set_7.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8712,H2-HDBSCAN,97,1169,0.559926633673476,0.04113796578811507,68.44231666852212
params/feature_set_7.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8802,H2-HDBSCAN,96,1164,0.5599257808177421,0.042197667679386215,70.13990152252957
params/feature_set_7.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8738,H2-HDBSCAN,98,1167,0.5598297169926555,0.04174695456810919,68.40045120779149
params/feature_set_4.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8776,H2-HDBSCAN,97,1219,0.5561927241091611,0.0430287458440967,69.23775906049372
params/feature_set_3.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1314,H2-HDBSCAN,90,711,0.5558089254026014,0.046672504170414256,131.92682880767762
params/feature_set_3.joblib,hog_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1296,H2-HDBSCAN,90,736,0.5552242934496788,0.04801578428379867,131.45433235854827
params/feature_set_3.joblib,all_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",217,H2-HDBSCAN,90,682,0.553309784399496,0.06318875681036903,153.98072513770143
params/feature_set_3.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",214,H2-HDBSCAN,93,705,0.548361701541129,0.061790752111289406,147.54421724540686
params/feature_set_1.joblib,all_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4894,H2-HDBSCAN,87,866,0.5452377195236288,0.043092258382081965,97.28686937822224
params/feature_set_1.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4868,H2-HDBSCAN,89,867,0.5447043586468286,0.04321384523848107,94.90585496119833
params/feature_set_6.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1604,H2-HDBSCAN,100,1342,0.5439529973236865,0.040851171416362575,70.59847907933575
params/feature_set_6.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1605,H2-HDBSCAN,100,1337,0.5438673433722612,0.041363769501533455,70.93232362016573
params/feature_set_6.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1603,H2-HDBSCAN,100,1339,0.5437958805073646,0.04064744965026068,70.50351074605636
params/feature_set_5.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",2232,H2-HDBSCAN,99,1295,0.5415948998356854,0.041096120778412924,64.6084051067742
params/feature_set_3.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",196,H2-HDBSCAN,98,853,0.5412742233261189,0.05551771005147314,135.05001453154523
params/feature_set_1.joblib,all_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",902,H2-HDBSCAN,88,914,0.5407482958819233,0.04836125719546359,104.29704133822212
params/feature_set_1.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",899,H2-HDBSCAN,89,915,0.540584049324901,0.047965681067085125,102.63493927003397
